model_name,quant_method,batch_size,latency,accuracy,energy
resnet18,tensorrt_fp32,128,0.6459261383095832,0.7411121056504446,0.01016608844328509
resnet50,tensorrt_int8,8,0.5378255517795832,0.40424212788542113,0.007799874219457927
resnet50,sparsity_int8,8,0.5325926148530209,0.2333821079797215,0.007695460579363438
resnet50,tensorrt_fp16,8,0.6810501170880867,0.4168373252857815,0.010435864326009974
resnet50,sparsity_fp16,8,0.685834796621342,0.23325798302286804,0.010588444859416204
resnet50,tensorrt_fp32,8,0.9528096327878008,0.4128432578811742,0.014635050091883666
resnet50,tensorrt_int8,16,0.5582047680411676,0.45274350093771715,0.008155806446837997
resnet50,sparsity_int8,16,0.5517467154396904,0.2521333004338573,0.008066205684001333
resnet50,tensorrt_fp16,16,0.6945918705728319,0.45410433235493575,0.010247709300597336
resnet50,sparsity_fp16,16,0.7034050579022879,0.2628270538580237,0.010406930330470594
resnet50,tensorrt_fp32,16,0.9641871523375463,0.4596491456332833,0.01496868739074441
resnet50,tensorrt_int8,32,0.5706828921936234,0.48446591664409017,0.008337115769838642
resnet50,sparsity_int8,32,0.5806955576719601,0.27336320745779946,0.00849561383907026
resnet50,tensorrt_fp16,32,0.7152102144999302,0.48825449994021985,0.010714873423061957
resnet50,sparsity_fp16,32,0.7164279870955874,0.2723958324458972,0.010712920380522514
resnet50,tensorrt_fp32,32,1.003945901261867,0.49312571584207615,0.01574372846850541
resnet50,tensorrt_int8,64,0.6250513369673925,0.5001861567528832,0.009338820045840081
resnet50,sparsity_int8,64,0.6148838148211802,0.27443983257803695,0.009122318320582608
resnet50,tensorrt_fp16,64,0.7487972437940686,0.50567564585351,0.011327468874889219
resnet50,sparsity_fp16,64,0.7417864894235371,0.2823390702636826,0.011159356937620319
resnet50,tensorrt_fp32,64,1.08288826847708,0.5073908381904197,0.01693216427492864
resnet50,tensorrt_int8,128,0.822418407218097,0.5029298401858708,0.012353882371433587
resnet50,sparsity_int8,128,0.8451344623957595,0.2758063461682568,0.01256825572011362
resnet50,tensorrt_fp16,128,0.8667458646917996,0.5098203857467599,0.013248260013610085
resnet50,sparsity_fp16,128,0.9106980831655738,0.28170856506857156,0.01400789494240692
resnet50,tensorrt_fp32,128,1.2686698077476188,0.5090038739655116,0.020802240770832123
vgg7_cifar,tensorrt_int8,8,0.20316289323146897,0.6319139151862173,0.002957760776121632
vgg7_cifar,sparsity_int8,8,0.20704206884509385,0.6937712194943669,0.0030479578494250177
vgg7_cifar,tensorrt_fp16,8,0.2693668204726595,0.6727084758907858,0.003958259719221056
vgg7_cifar,sparsity_fp16,8,0.27007948286605604,0.6899670132482895,0.003977778819653252
vgg7_cifar,tensorrt_fp32,8,0.40611717159097843,0.6663895977867974,0.006283967452747017
vgg7_cifar,tensorrt_int8,16,0.24517966912250327,0.7366468686046023,0.0035651101012659607
vgg7_cifar,sparsity_int8,16,0.24419180618392097,0.7025932482396713,0.0035628010693119177
vgg7_cifar,tensorrt_fp16,16,0.3460552402819046,0.7443522940982472,0.005244401916999368
vgg7_cifar,sparsity_fp16,16,0.33588253669064455,0.727144942199341,0.005038887008594157
vgg7_cifar,tensorrt_fp32,16,0.5565030136493722,0.7175238116823062,0.008863668022445011
vgg7_cifar,tensorrt_int8,32,0.3110817983406763,0.7687854908576618,0.004583750329661544
vgg7_cifar,sparsity_int8,32,0.3116291338147092,0.775677582728358,0.0046038089652785
vgg7_cifar,tensorrt_fp16,32,0.4577875181013287,0.7756369121688197,0.007241699824662167
vgg7_cifar,sparsity_fp16,32,0.4587140586166506,0.7604846036007039,0.007255092856795096
vgg7_cifar,tensorrt_fp32,32,0.8207501780714973,0.7707371942771762,0.013906530504067132
vgg7_cifar,tensorrt_int8,64,0.42751618489524384,0.785325078380029,0.0065526127623312105
vgg7_cifar,sparsity_int8,64,0.4216423841896436,0.7825917495007546,0.00635733321447363
vgg7_cifar,tensorrt_fp16,64,0.6561008747050304,0.7852652724215526,0.01085357768673399
vgg7_cifar,sparsity_fp16,64,0.6581779102615962,0.7881711251688319,0.010877892540263898
vgg7_cifar,tensorrt_fp32,64,1.331819016412394,0.7743478914759806,0.02446301755834038
vgg7_cifar,tensorrt_int8,128,0.6601008201298648,0.7876912192122577,0.010480853755377632
vgg7_cifar,sparsity_int8,128,0.6552179725202796,0.7864916994147104,0.010191480495824617
vgg7_cifar,tensorrt_fp16,128,1.0895956134142941,0.7892914463395941,0.019330338324416097
vgg7_cifar,sparsity_fp16,128,1.0805001667101088,0.7932329088041227,0.019676004655859274
vgg7_cifar,tensorrt_fp32,128,2.1461961759279853,0.792455892040305,0.049365860373710956
