model_name,quant_method,batch_size,latency,accuracy,energy
resnet18,tensorrt_int8,8,0.8440341994015857,0.6440816654400392,0.002775173869575675
resnet18,sparsity_int8,8,0.8061536328961151,0.45043253798526944,0.0024410612484034
resnet18,tensorrt_fp16,8,1.0530158554062699,0.6482795973618826,0.003309417875820031
resnet18,sparsity_fp16,8,1.0651285332862777,0.4653009046057258,0.0034314741485233
resnet18,tensorrt_fp32,8,1.4359085288914768,0.6448087777152206,0.0061837829205634905
resnet18,tensorrt_int8,16,0.88919835259216,0.6897287173102601,0.002750195946156877
resnet18,sparsity_int8,16,1.07428473721851,0.4956949594646993,0.0032877236476059634
resnet18,tensorrt_fp16,16,0.9828241460251086,0.6845447483086827,0.0032685992756792243
resnet18,sparsity_fp16,16,1.0827431421689313,0.49152293434046734,0.0035355074506961503
resnet18,tensorrt_fp32,16,1.738397477612351,0.6873367825541833,0.006747520221424899
resnet18,tensorrt_int8,32,0.9325179375149917,0.724679751776717,0.0029433479126708293
resnet18,sparsity_int8,32,0.5070884695173474,0.5312437871380039,0.0019892541086201218
resnet18,tensorrt_fp16,32,0.8030309300469265,0.726851618445269,0.0030054515181043265
resnet18,sparsity_fp16,32,1.0539200013740055,0.5232116539237553,0.004162106851294198
resnet18,tensorrt_fp32,32,1.8091075991186334,0.7257952255224172,0.008237504855297229
resnet18,tensorrt_int8,64,0.7832705668660979,0.7377169294073093,0.0025773268727879665
resnet18,sparsity_int8,64,0.8151762635502594,0.5362093754556795,0.0026228243794135008
resnet18,tensorrt_fp16,64,0.9616743870918324,0.7362389438199681,0.003323909462070793
resnet18,sparsity_fp16,64,0.992192210740601,0.5411163244815852,0.003396002039708113
resnet18,tensorrt_fp32,64,2.3087135458624126,0.7376549232085019,0.01083428139289499
resnet18,tensorrt_int8,128,0.6998176444066714,0.7361717558886907,0.0025410810062844575
resnet18,sparsity_int8,128,0.7644427394213742,0.5300257344768472,0.00269873642390727
resnet18,tensorrt_fp16,128,1.0383960580172604,0.7369766488467178,0.0039511773434237904
resnet18,sparsity_fp16,128,1.029347942300039,0.5355535051594041,0.003933677837648901
resnet18,tensorrt_fp32,128,3.068801760673523,0.7378122659578715,0.01776019390346411
resnet50,tensorrt_int8,8,1.3254892609938227,0.4071226249891098,0.004491543091364704
resnet50,sparsity_int8,8,1.1879332844657127,0.2696232502884937,0.004116742132933007
resnet50,tensorrt_fp16,8,1.6451692585993294,0.4167988177426536,0.0059927281311653
resnet50,sparsity_fp16,8,1.6738115228787818,0.27094503970007705,0.005721749044072915
resnet50,tensorrt_fp32,8,2.1579434691053447,0.4135527332322766,0.009718772910412565
resnet50,tensorrt_int8,16,1.3940364920731747,0.4448855696754022,0.004850319720853502
resnet50,sparsity_int8,16,1.5350179531959571,0.2943755437930425,0.0051766305432065585
resnet50,tensorrt_fp16,16,1.6344155188762781,0.4475818172097206,0.005740906522383127
resnet50,sparsity_fp16,16,1.6717240906725026,0.2922482293663603,0.005748904671260654
resnet50,tensorrt_fp32,16,2.6599171236307932,0.45105772751449336,0.0116393147068187
resnet50,tensorrt_int8,32,1.5115354266927763,0.4796402408265136,0.005391187835458927
resnet50,sparsity_int8,32,1.5557531728030027,0.3174543012576693,0.005381437288907405
resnet50,tensorrt_fp16,32,1.4267740969937477,0.48890230341144025,0.005222443096166857
resnet50,sparsity_fp16,32,1.5589827794205482,0.3149720525023215,0.005560637103967437
resnet50,tensorrt_fp32,32,3.234466714268787,0.487849703683527,0.014434221190744152
resnet50,tensorrt_int8,64,1.6412278686138178,0.49970956038165565,0.006056701460768444
resnet50,sparsity_int8,64,1.4926830202538446,0.32528828508806545,0.005387859864488061
resnet50,tensorrt_fp16,64,1.6461812920917738,0.5041734128203613,0.006048298753907331
resnet50,sparsity_fp16,64,1.6040006366786579,0.3258607814840923,0.005844896487304419
resnet50,tensorrt_fp32,64,4.079153580381381,0.5033456436450908,0.018248090915449527
resnet50,tensorrt_int8,128,1.55361271312792,0.49969296749324016,0.0067225824141774445
resnet50,sparsity_int8,128,1.6889823544515323,0.32125212864516534,0.006418595681807451
resnet50,tensorrt_fp16,128,2.06291594080729,0.5030971847168387,0.008244439370899663
resnet50,sparsity_fp16,128,1.9763112296796825,0.32553812351128825,0.0075647705372090856
resnet50,tensorrt_fp32,128,5.651416981056945,0.5021204772877367,0.028999042286176467
vgg7_cifar,tensorrt_int8,8,0.672737422976831,0.6597517111686745,0.0035081569101911405
vgg7_cifar,sparsity_int8,8,0.6245219541920556,0.683703904471012,0.003217001953662986
vgg7_cifar,tensorrt_fp16,8,1.0587070048457445,0.7063878337241183,0.00434093161164417
vgg7_cifar,sparsity_fp16,8,0.8045070202663691,0.6861579155380075,0.0037267480728528737
vgg7_cifar,tensorrt_fp32,8,1.693967837035054,0.6881244052540172,0.010808823300130823
vgg7_cifar,tensorrt_int8,16,1.0253630697125136,0.7464296057970837,0.005244594101443193
vgg7_cifar,sparsity_int8,16,1.0665609047870444,0.7306784728560785,0.005255436363487288
vgg7_cifar,tensorrt_fp16,16,1.6534764602930858,0.7394504499555838,0.008155061732119563
vgg7_cifar,sparsity_fp16,16,1.5490210269436693,0.7468809191626732,0.008145395232441578
vgg7_cifar,tensorrt_fp32,16,2.6872089258348097,0.7427940315670437,0.019013677880610202
vgg7_cifar,tensorrt_int8,32,1.565139489667035,0.7727850980401427,0.008167326575771353
vgg7_cifar,sparsity_int8,32,1.4524250690634166,0.7832738172736152,0.00773123737490918
vgg7_cifar,tensorrt_fp16,32,2.335870018028669,0.77509989101646,0.01320341386686515
vgg7_cifar,sparsity_fp16,32,2.3332346621476088,0.7905877692691666,0.012589336506579016
vgg7_cifar,tensorrt_fp32,32,4.263187813059903,0.7716145492143662,0.03478004384038651
vgg7_cifar,tensorrt_int8,64,1.869664635089849,0.7956128163842966,0.011139554588032194
vgg7_cifar,sparsity_int8,64,2.204936901465157,0.7954954761543022,0.01203130337206137
vgg7_cifar,tensorrt_fp16,64,3.4256779934396806,0.7931842089488806,0.02103280583003771
vgg7_cifar,sparsity_fp16,64,3.7552305128400687,0.7942342888440518,0.021781945750409218
vgg7_cifar,tensorrt_fp32,64,7.37233375397739,0.7950782341672885,0.0663050998313215
vgg7_cifar,tensorrt_int8,128,2.658884832303818,0.7953262206626265,0.01822631810607753
vgg7_cifar,sparsity_int8,128,2.7483897045867085,0.7896945696987517,0.01818100750491045
vgg7_cifar,tensorrt_fp16,128,5.611927666076242,0.797977915365402,0.04244638206418832
vgg7_cifar,sparsity_fp16,128,5.4339072704315186,0.8026139229944308,0.04077512746609097
vgg7_cifar,tensorrt_fp32,128,12.09591141792193,0.7970631963586154,0.14721392046645007
