model_name,quant_method,batch_size,latency,accuracy,energy
resnet18,tensorrt_int8,8,0.8440341994015857,0.6440816654400392,0.002775173869575675
resnet18,sparsity_int8,8,0.8061536328961151,0.45043253798526944,0.0024410612484034
resnet18,tensorrt_fp16,8,1.0530158554062699,0.6482795973618826,0.003309417875820031
resnet18,sparsity_fp16,8,1.0651285332862777,0.4653009046057258,0.0034314741485233
resnet18,tensorrt_fp32,8,1.4359085288914768,0.6448087777152206,0.0061837829205634905
resnet18,tensorrt_int8,16,0.88919835259216,0.6897287173102601,0.002750195946156877
resnet18,sparsity_int8,16,1.07428473721851,0.4956949594646993,0.0032877236476059634
resnet18,tensorrt_fp16,16,0.9828241460251086,0.6845447483086827,0.0032685992756792243
resnet18,sparsity_fp16,16,1.0827431421689313,0.49152293434046734,0.0035355074506961503
resnet18,tensorrt_fp32,16,1.738397477612351,0.6873367825541833,0.006747520221424899
resnet18,tensorrt_int8,32,0.9325179375149917,0.724679751776717,0.0029433479126708293
resnet18,sparsity_int8,32,0.5070884695173474,0.5312437871380039,0.0019892541086201218
resnet18,tensorrt_fp16,32,0.8030309300469265,0.726851618445269,0.0030054515181043265
resnet18,sparsity_fp16,32,1.0539200013740055,0.5232116539237553,0.004162106851294198
resnet18,tensorrt_fp32,32,1.8091075991186334,0.7257952255224172,0.008237504855297229
resnet18,tensorrt_int8,64,0.7832705668660979,0.7377169294073093,0.0025773268727879665
resnet18,sparsity_int8,64,0.8151762635502594,0.5362093754556795,0.0026228243794135008
resnet18,tensorrt_fp16,64,0.9616743870918324,0.7362389438199681,0.003323909462070793
resnet18,sparsity_fp16,64,0.992192210740601,0.5411163244815852,0.003396002039708113
resnet18,tensorrt_fp32,64,2.3087135458624126,0.7376549232085019,0.01083428139289499
resnet18,tensorrt_int8,128,0.6998176444066714,0.7361717558886907,0.0025410810062844575
resnet18,sparsity_int8,128,0.7644427394213742,0.5300257344768472,0.00269873642390727
resnet18,tensorrt_fp16,128,1.0383960580172604,0.7369766488467178,0.0039511773434237904
resnet18,sparsity_fp16,128,1.029347942300039,0.5355535051594041,0.003933677837648901
resnet18,tensorrt_fp32,128,3.068801760673523,0.7378122659578715,0.01776019390346411
